Year,EN.ATM.CO2E.KD.GD,NY.GNP.MKTP.KN,NY.GNP.MKTP.CN,NY.GNP.PCAP.KD.ZG,NY.GNP.MKTP.KD,NE.CON.GOVT.CN,DC.DAC.GBRL.CD,AG.PRD.FOOD.XD,AG.LND.CROP.ZS,NY.GNP.PCAP.KD,SP.POP.DPND.YG,EN.POP.DNST,NV.IND.TOTL.KD.ZG,SP.POP.DPND.OL,NY.GNP.PCAP.KN,AG.LND.CREL.HA,AG.LND.AGRI.K2,AG.YLD.CREL.KG,AG.PRD.CREL.MT,NV.AGR.TOTL.KN,NE.GDI.TOTL.KD.ZG,ER.FSH.AQUA.MT,NE.CON.TETC.CN,NE.CON.TETC.KN,NE.CON.TETC.KD,MS.MIL.MPRT.KD,NE.CON.TETC.ZS,NE.CON.TOTL.CN,NE.CON.TOTL.KN,NE.CON.TOTL.KD,NV.AGR.TOTL.CN,NE.CON.GOVT.KD.ZG,NV.AGR.TOTL.KD,NV.AGR.TOTL.ZS,AG.PRD.CROP.XD,NE.CON.GOVT.KD,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,AG.LND.AGRI.ZS,NY.GNP.MKTP.KD.ZG,EN.URB.LCTY.UR.ZS,NE.EXP.GNFS.CN,EN.URB.LCTY,TM.VAL.MRCH.CD.WT,SP.POP.GROW,NE.EXP.GNFS.KN,NV.IND.TOTL.ZS,ER.FSH.CAPT.MT,NE.RSB.GNFS.ZS,TM.VAL.MRCH.RS.ZS,SP.POP.65UP.TO.ZS,NE.RSB.GNFS.KN,TM.VAL.MRCH.WL.CD,SP.POP.1564.TO.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,NE.EXP.GNFS.ZS,SP.RUR.TOTL,TX.VAL.MRCH.R1.ZS,SP.POP.TOTL,SP.POP.TOTL.FE.ZS,NE.EXP.GNFS.KD,NY.EXP.CAPM.KN,TM.VAL.MRCH.HI.ZS,SP.DYN.LE00.MA.IN,SP.DYN.IMRT.IN,DT.ODA.ALLD.KD,FP.CPI.TOTL.ZG,SH.DYN.MORT,DT.ODA.ODAT.PC.ZS,DT.ODA.ALLD.CD,EN.ATM.CO2E.GF.ZS,DC.DAC.USAL.CD,DC.DAC.DEUL.CD,DC.DAC.TOTL.CD,NY.GSR.NFCY.CN,NE.RSB.GNFS.CN,SP.DYN.AMRT.MA,DT.ODA.ODAT.CD,SP.POP.0014.TO.ZS,NV.IND.TOTL.KD,NV.IND.TOTL.KN,DT.ODA.ODAT.KD,SP.DYN.CBRT.IN,SH.DTH.MORT,TM.VAL.MRCH.OR.ZS,SH.DTH.IMRT,NV.IND.TOTL.CN,SP.DYN.AMRT.FE,TM.VAL.MRCH.R5.ZS,NE.IMP.GNFS.CN,NY.GDP.DISC.CN,NE.DAB.TOTL.CN,SP.DYN.TFRT.IN,NE.DAB.DEFL.ZS,SP.DYN.LE00.IN,NE.CON.PRVT.KD,NE.DAB.TOTL.KN,NE.CON.PRVT.KN,NE.CON.PRVT.PC.KD,NE.CON.PETC.ZS,EN.ATM.CO2E.GF.KT,NE.CON.PETC.KD,NE.CON.PETC.KN,NE.CON.PETC.CN,NE.CON.PRVT.CN,SP.URB.GROW,NE.DAB.TOTL.KD,NY.GDS.TOTL.CN,NE.DAB.TOTL.ZS,BX.GRT.EXTA.CD.WD,NE.GDI.TOTL.KD,NE.GDI.TOTL.KN,NE.GDI.TOTL.CN,NY.GDY.TOTL.KN,NY.GDS.TOTL.ZS,EN.ATM.CO2E.KT,NE.GDI.TOTL.ZS,TX.VAL.MRCH.RS.ZS,SP.URB.TOTL.IN.ZS,NV.IND.MANF.KD,NV.SRV.TETC.CN,FP.CPI.TOTL,NE.IMP.GNFS.KD,NV.IND.MANF.KN,NV.SRV.TETC.KN,EN.ATM.CO2E.SF.KT,NV.IND.MANF.CN,SP.DYN.CDRT.IN,TX.VAL.MRCH.CD.WT,NY.GDP.DISC.KN,NV.SRV.TETC.ZS,NE.IMP.GNFS.KN,TX.VAL.MRCH.WL.CD,NV.SRV.TETC.KD,SP.URB.TOTL,EN.ATM.CO2E.SF.ZS,NV.IND.MANF.ZS,SP.DYN.LE00.FE.IN,NE.TRD.GNFS.ZS,FI.RES.XGLD.CD,EN.ATM.CO2E.PC,SP.DYN.TO65.FE.ZS,FI.RES.TOTL.CD,NE.IMP.GNFS.ZS,NY.TTF.GNFS.KN,BX.GRT.TECH.CD.WD,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.LF.KT,SP.DYN.TO65.MA.ZS,ER.FSH.PROD.MT,AG.LND.ARBL.HA.PC,SP.POP.DPND,NY.GNP.PCAP.CN,NY.GDP.DEFL.KD.ZG,NV.IND.MANF.KD.ZG,AG.LND.ARBL.HA,DC.DAC.JPNL.CD,SP.ADO.TFRT,AG.LND.ARBL.ZS,AG.PRD.LVSK.XD
1962,0.419537372,503759000000000.0,1426999900.0,-0.316389158,55416423181.0,80000000.0,110000,21.66,4.416058999,598.7210137,73.62762023,51.09270191,2.354015481,6.3039759029999995,5442633.461,10458000,386000,1553.5,16246900,199074000000000.0,-8.932334215,89263.0,1307096300.0,360420000000000.0,39648249400.0,1077000000.0,92.76765133,1315000100.0,316001000000000.0,34761913001.0,793000000.0,-19.27696262,21899334594.0,56.2810464,22.73,3553591918,32303700000000.0,5.677785261,21.30748467,2.359628524,21.33709444,81903800.0,2973833,647100000.0,2.649110345,119346000000000.0,11.85237673,857937.0,0.7028956209999999,25.44275775,3.5035402560000004,50921600000000.0,632400000.0,55.57667588,7216572,7.796810142999999,2.370484619,84.94200000000002,5.812902355,78620621,17.10605153,92558006,50.26259209,13128713528.0,54634100000000.0,69.4971537,48.578,141.2,1389550000,131.3978495,210.7,1.704120549,157730000.0,22.59607718,88000000.0,3580000,154390000.0,17999900.0,9903800.0,291.175,157730000.0,40.91978386,12824346761.0,116579000000000.0,1389550000,43.934,825058,5.060088552,558745,167000000.0,276.777,2.435167615,72000000.0,-7903800.0,1399096300.0,5.645,0.00032769699999999995,49.88580488,31192161309.0,426949000000000.0,283550000000000.0,337.0012240000001,87.08986607,5196.139,29095479751.0,264491000000000.0,1227096300.0,1235000100.0,4.235543938999999,46966795010.0,101903800.0,99.29710438,133540000,7318545498.0,66528700000000.0,92000000.0,433555000000000.0,7.2323486710000005,22995.757,6.52945305,12.71719593,15.058,3492419117.0,449000100.0,0.000729768,5283330836.0,31747600000000.0,163927000000000.0,1301.785,125000000.0,17.016,682000000.0,-1399973.749,31.86657687,48027800000000.0,667600000.0,18032898168.0,13937385,5.66097911,8.87153947,51.25899999999999,10.92290909,63000000.0,0.24844697899999998,48.33871,108100020.0,5.110006735,-64711600000000.0,4790000,70.64264073,16244.81,44.68565,947200.0,0.194472642,79.93159614,15.41735785,178.74943369999997,1.173061788,18000000.0,22040000,147.41299999999995,9.936132747,17.65
1963,0.42523786799999996,489864000000000.0,3408999900.0,-5.31335642,53887898317.0,219000000.0,150000,20.46,4.416058999,566.9088323,75.015414,52.47143031,-4.4149425,6.258007235,5153446.946,9290000,385500,1501.9,13952800,191879000000000.0,-23.68454958,88224.0,3018782800.0,359548000000000.0,39552383971.0,180000000.0,89.15483493,3052000000.0,308589000000000.0,33946573211.0,1866999900.0,0.596867366,21107767441.0,55.13880227,21.63,3574802149,32496500000000.0,6.467808432999999,21.2798843,-2.758252475,21.1645028,344217300.0,3077862,521400000.0,2.6627169580000003,111916000000000.0,12.69934989,850976.0,1.305885963,35.10553564,3.452247546,53073000000000.0,502200000.0,55.1652853,7450442,7.837977554,2.3785910230000002,84.70100000000002,10.16589751,80513102,13.76726418,95055669,50.24552928,12311352216.0,40382700000000.0,60.21505376,49.2,137.7,781280000,145.91078069999998,205.1,1.137754341,108150000.0,23.59568646,77000000.0,7560000,105080000.0,22999800.0,44217300.0,288.2340000000001,108150000.0,41.38246715,12258159226.0,111432000000000.0,781280000,43.551,814505,4.679410593,550727,430000000.0,273.925,1.055356432,300000000.0,-33217100.0,3341782800.0,5.6339999999999995,0.000814433,50.48829268,30368983278.0,410320000000000.0,276067000000000.0,319.48629260000007,82.6870265,5375.821999999999,27534730434.0,250303000000000.0,2799782800.0,2832999900.0,4.250520591,45137565060.0,367217300.0,98.69411404,93570000,5585180962.0,50771700000000.0,323000000.0,415507000000000.0,10.84516507,22783.071,9.539279104,13.41463415,15.299000000000001,3431666716.0,1089000200.0,0.001794579,3871677979.0,31195300000000.0,164782000000000.0,1595.145,252000000.0,16.522000000000002,696000000.0,-1300597.637,32.16184784,35195200000000.0,680600000.0,18126996886.0,14542567,7.0014485760000005,7.442409702999999,51.841,19.02590907,21000000.0,0.239681349,49.038740000000004,58079560.0,8.860011552000001,-71532800000000.0,3820000,68.67857718,15647.089,45.41326,939200.0,0.18936272,81.27342123,35.86319402,145.85138999999995,-1.7395506930000002,18000000.0,17930000,148.7258,9.936132747,17.65
1964,0.404037662,504861000000000.0,7545999900.0,0.335667935,55537658321.0,489000000.0,90000,22.0,4.416058999,568.8117635,76.28156989,53.89691097,2.826669613,6.204215962999999,5170745.415,10626000,385500,1512.8,16074600,201582000000000.0,13.79353178,93148.0,6366241100.0,359234000000000.0,39517801456.0,537000000.0,84.56749601,6466000000.0,308664000000000.0,33954826355.0,3972999900.0,17.50682264,22175155944.0,52.77630048,22.9,4200636421,38185600000000.0,6.495749203,21.2798843,3.0614665910000003,20.99173959,1033758800.0,3185681,679900000.0,2.680432899,125150000000000.0,17.54782279,910852.0,1.378306323,46.39632747,3.3998351889999996,59916100000000.0,653500000.0,54.79878859,7693272,7.879380847999999,2.391944699,84.45700000000002,13.73218385,82462148,12.16521004,97638027,50.2289994,13767268817.0,42583000000000.0,51.53787299,49.81100000000001,134.1,543630000,108.99470900000001,199.5,0.6851838579999999,66900000.0,23.43212707,31000000.0,14160000,63520000.0,17999900.0,103758900.0,285.293,66900000.0,41.80137622,12604656888.0,114582000000000.0,543630000,43.14100000000001,803834,2.065799541,543107,1321000100.0,271.073,2.050497322,929999900.0,-99758800.0,7424241100.0,5.6229999999999976,0.001780356,51.07929268,29829072012.0,417009000000000.0,271159000000000.0,305.506706,78.07174681,5247.477,27218855177.0,247431000000000.0,5877241100.0,5976999900.0,4.262725551,45873376249.0,1161758900.0,98.62169368,54640000,6355574672.0,57774900000000.0,1058000000.0,421283000000000.0,15.43250399,22394.369,14.05419766,12.32027065,15.543,3381054716.0,2234000000.0,0.003750575,4214205680.0,30735300000000.0,168788000000000.0,1206.443,629000000.0,16.037,724000000.0,-2057988.014,29.67587673,38309000000000.0,709400000.0,18567660272.0,15175879,5.387260521,8.355472901,52.411,26.08606137,21000000.0,0.22936113800000002,49.73876,25003680.0,12.35387752,-82567400000000.0,3660000,70.19813329,15720.428999999998,46.14087,1004000.0,0.184354401,82.48578586,77.28546072,114.9096888,-1.47485185,18000000.0,15010000,150.0386,9.936132747,18.37
1965,0.44127445,513769000000000.0,25323999200.0,-0.9452286609999999,56517562044.0,1279000100.0,30000,21.87,4.416058999,563.4351917,77.39104707,55.37125035,2.52012575,6.147240825,5121870.048,9834000,385000,1559.8,15339500,203217000000000.0,4.131902397,93898.0,23046000100.0,363003000000000.0,39932460094.0,338000000.0,92.11031105,23092000300.0,313331000000000.0,34468234509.0,14008999900.0,-27.52563201,22355047174.0,55.99120596,22.99,3044384697,27674800000000.0,5.11191081,21.25228393,1.764395102,20.81709473,1383000100.0,3296964,694600000.0,2.698734651,120652000000000.0,12.58992831,980902.0,0.103917665,37.19271624,3.349296158,58701500000000.0,659000000.0,54.48454442,7944400,7.919935636,2.407037222,84.211,5.527578271,84471124,9.211474701,100308896,50.21347658,13272385711.0,35869400000000.0,60.2124431,50.413999999999994,130.6,446910000,306.7631103,193.9,0.42737984100000004,42870000.0,24.55072033,-2920000.0,15130000,41230000.0,303999000.0,26000200.0,282.351,42870000.0,42.16615942,12922310092.0,117469000000000.0,446910000,42.71,795111,2.5948406680000002,537777,3150000100.0,268.221,2.5644916540000002,1356999900.0,-46000200.0,24994000100.0,5.612,0.005906436,51.66278049,31350397883.0,423165000000000.0,284989000000000.0,312.5385597,86.99840024,6061.5509999999995,28724505580.0,261118000000000.0,21767000000.0,21813000200.0,4.2690460439999995,46550641028.0,1974000200.0,99.89608234,34100000,6618180814.0,60162100000000.0,1948000000.0,423840000000000.0,7.889688953999999,24689.911,7.78577129,16.60660228,15.789000000000001,3350679685.0,7861000300.0,0.015255953999999999,3871654511.0,30459100000000.0,169350000000000.0,762.7360000000001,2091000100.0,15.56,708000000.0,-1835623.971,31.41886573,35195000000000.0,693700000.0,18629430447.0,15837772,3.089261845,8.357314448,52.974,10.95123888,17000000.0,0.246138797,50.438790000000004,21003680.0,5.423660606,-84782400000000.0,1640000,71.6174068,17682.273999999998,46.86847,1074800.0,0.179445699,83.5382879,252.46015269999998,229.24101980000003,-0.898389235,18000000.0,21520000,151.3514,9.936132747,18.61
1966,0.4065507270000001,524666000000000.0,334616000000.0,-0.612144813,57716289881.0,26727999500.0,10000,22.49,4.416058999,559.9861524,78.56061190000001,56.89393841,-0.145595195,6.180326593999999,5090516.786,11469000,384500,1514.3,17367400,211613000000000.0,12.43420173,104339.0,340860000000.0,370030000000000.0,40705477358.0,16000000.0,102.2529603,342342000000.0,322033000000000.0,35425448206.0,169372000000.0,39.72100643,23278639647.0,50.80905552,23.67,4253644939,38667500000000.0,8.017998687999999,21.22468356,2.1209829190000002,20.64183397,44558753800.0,3412296,526600000.0,2.712829249,119132000000000.0,11.93910289,1137261.0,-7.5185969639999986,23.10283337,3.345401752,58538800000000.0,504700000.0,54.12985385,8205225,7.961032122000001,2.415514385,83.961,13.36695736,86536379,5.391934752999999,103067352,50.19911155,13105226035.0,21558900000000.0,73.68733901,51.013999999999996,127.0,693870000,1136.2541119999999,188.2,0.8046194879999999,82930000.0,25.97178683,26510000.0,3750000,80910000.0,1265991700.0,-25063243800.0,279.41,82930000.0,42.524744399999996,12903495829.0,117298000000000.0,693870000,42.25,786584,3.20982762,533779,39799000800.0,265.37,3.150386368,69621997600.0,-1481748400.0,358413000000.0,5.599,0.08189060299999999,52.24131707,31185234240.0,437673000000000.0,283487000000000.0,302.5714121000001,94.23496161,6076.219,29418292420.0,267425000000000.0,314132000000.0,315614000000.0,4.283805285,48146576242.0,-7510243400.0,107.518597,30690000,7441098768.0,67642800000000.0,17553000400.0,425547000000000.0,-2.252960298,23395.46,5.265636666,8.790212959,16.039,3411427995.0,124179000000.0,0.18860235399999997,3705576324.0,31011400000000.0,174689000000000.0,898.415,30840000500.0,15.09,679000000.0,-1777121.085,37.25184159,33685300000000.0,662100000.0,19216776987.0,16530973,3.840125392,9.251537271,53.53,34.25251167,19000000.0,0.226991958,51.13881,23011660.0,20.88555432,-97573300000000.0,5170000,69.46708464,16252.143999999998,47.59608,1241600.0,0.174643082,84.74093849,3246.576109,1195.409443,1.813014539,18000000.0,50580000,152.6642,9.936132747,18.24
1967,0.42206630799999995,532426000000000.0,901850000000.0,-1.242202273,58569970197.0,60090998800.0,1930000,21.7,4.416058999,553.0299917,79.57668562,58.461667500000004,4.948679095,6.199288042,5027282.27,10063000,384500,1549.3,15591101,209432000000000.0,-18.35311175,112101.0,871657000000.0,397426000000000.0,43719121967.0,1000000.0,97.43195938,874393000000.0,344998000000000.0,37951810808.0,459939000000.0,-11.47124418,23038699274.0,51.41096979,22.81,3765698941,34231800000000.0,6.7168398510000005,21.22468356,1.4790976999999998,20.46689133,82261524500.0,3531663,649200000.0,2.7182478289999996,119567000000000.0,12.7326094,1086299.0,-6.748415371,19.35686275,3.3369697489999997,53665900000000.0,637500000.0,53.82827393,8475802,8.003030723,2.415268569,83.70700000000002,9.195012515,88651910,4.724048311000001,105907403,50.18575047,13153010292.0,24923500000000.0,78.19607843,51.611000000000004,123.4,1948190000,106.0,182.5,2.166420793,229440000.0,24.9477456,44750000.0,26950000,231590000.0,7218004000.0,-60373483500.0,276.468,229440000.0,42.83475632,13542048430.0,123103000000000.0,1948190000,41.747,779484,2.447058824,531155,113910000000.0,262.518,2.431372549,142635000000.0,-2735480900.0,955005000000.0,5.5820000000000025,0.210979125,52.81685366,34137940238.0,452654000000000.0,310329000000000.0,322.3376201000001,90.71511953,6127.557,32181515090.0,292544000000000.0,811566000000.0,814302000000.0,4.28947548,49794547705.0,22974513200.0,106.74841540000001,44780000,6075425596.0,55228300000000.0,83347996700.0,434362000000000.0,2.56804062,24561.56600000001,9.316455991,5.457881058,16.293,3532914094.0,320783000000.0,0.388520849,4753938774.0,32115700000000.0,177083000000000.0,619.7230000000002,72152997900.0,14.624,665000000.0,-1226186.078,35.85642081,43215400000000.0,654100000.0,19480147424.0,17255493,2.523141236,8.065103616,54.083,25.138440399999997,2000000.0,0.231915478,51.83884000000001,6012800.0,15.94342789,-94643100000000.0,4630000,71.81248134,17638.27,48.323679999999996,1198400.0,0.16995979,85.77597366,8515.457654,165.3905375,3.561150928,18000000.0,112930000,153.977,9.936132747,18.12
1968,0.42313219399999996,595421000000000.0,2224930000000.0,8.836796012999999,65499713457.0,150371000000.0,2630000,24.98,4.416058999,601.9001239,80.35434297,60.07030642,26.15928165,6.207079446,5471532.95,11240780,384500,1808.5,20328850,232654000000000.0,21.90233121,104175.0,2059710000000.0,440076000000000.0,48410863233.0,1000000.0,93.09346999,2068090000000.0,383817000000000.0,42222055047.0,1075470000000.0,13.23958008,25593267354.0,48.6083745,26.2,4264261668,38764000000000.0,6.796367581,21.22468356,11.83156358,20.29764093,251981000000.0,3655378,715800000.0,2.7144366769999997,131501000000000.0,15.91072605,1075825.0,-3.3349139869999997,19.59593105,3.327096978,59722300000000.0,707800000.0,53.60164964,8756940,8.047063097999999,2.408138979,83.45100000000002,11.3888853,90812684,7.697456493,108821565,50.17316099,14465872048.0,35762600000000.0,77.04153716,52.207,119.8,2450490000,128.8430421,176.8,2.996005433,326030000.0,22.8898046,122920000.0,21610000,315830000.0,12409897000.0,-73785639000.0,273.38599999999997,326030000.0,43.07125339,17084551020.0,155306000000000.0,2450490000,41.19600000000001,772298,3.3625317889999997,528514,352028000000.0,259.533,3.3484035039999998,325767000000.0,-8379285400.0,2286310000000.0,5.556,0.450592137,53.39041463,37910119849.0,507400000000000.0,344619000000000.0,348.369552,86.29710241,6314.574000000001,35063975890.0,318747000000000.0,1909340000000.0,1917720000000.0,4.273449754,55816948816.0,152808000000.0,103.334914,60520000,7406085432.0,67324500000000.0,226594000000.0,496928000000000.0,6.9065300060000006,27586.841,10.24144399,13.02543507,16.549,3836583172.0,785022000000.0,0.88910293,5086077655.0,34876200000000.0,186406000000000.0,473.043,207848000000.0,14.164000000000001,731000000.0,-1380833.142,35.48089945,46234600000000.0,747000000.0,20505722355.0,18008881,1.71474146,9.394174844,54.633,26.11268459,82500000.0,0.253505277,52.55175,87276600.0,14.72379929,-95738500000000.0,6120000,74.65107005,20593.872,49.0687,1180000.0,0.165408391,86.56142242,20445.67084,120.7456949,8.595427741,18000000.0,83730000,149.071,9.936132747,19.36
1969,0.47653582899999997,640364000000000.0,2887170000000.0,4.682818033,70443672788.0,190848000000.0,5550000,25.31,4.416058999,630.0860114,80.78793788,61.71447419,19.91978053,6.2074092510000005,5727754.881,10448440,384000,1944.1,20313080,238431000000000.0,26.9499624,105690.0,2609430000000.0,456436000000000.0,50210585158.0,9000000.0,90.96980759999998,2618450000000.0,400516000000000.0,44059065973.0,1347030000000.0,2.487614061,26228775633.0,46.96003777,26.71,4370340041,39728300000000.0,6.6533261679999995,21.19708319,7.5480625329999995,20.13076296,271109000000.0,3783069,780700000.0,2.700284323,151032000000000.0,17.93118872,1129110.0,-4.5482079319999995,16.72067401,3.319552784,67050200000000.0,771500000.0,53.47726643,9047897,8.092924612000001,2.388238254,83.191,9.451393569,93007613,7.594339623,111800090,50.16100703,16614353140.0,37775200000000.0,80.31108231,52.801,116.4,2231830000,15.52059395,171.1,2.9398902989999995,328680000.0,14.97913464,151000000.0,8520000,319810000.0,18710003700.0,-130464000000.0,270.303,328680000.0,43.20318078,20487756088.0,186243000000000.0,2231830000,40.601,763054,2.968243681,525130,514349000000.0,256.54900000000004,2.968243681,401573000000.0,-9015328800.0,2998920000000.0,5.521,0.55340452,53.96246341,39632698167.0,541904000000000.0,360278000000000.0,354.4961204,84.31648143,5001.788,35177879352.0,319782000000000.0,2418580000000.0,2427600000000.0,4.259160507,59612607970.0,259027000000.0,104.54820790000001,51250000,9402022671.0,85468500000000.0,389491000000.0,523726000000000.0,9.0301924,33391.702000000005,13.57840033,6.6509433960000015,16.809,4393358130.0,1007080000000.0,1.0270969859999999,6155205798.0,39937500000000.0,195208000000000.0,561.0509999999998,291755000000.0,13.71,854000000.0,-1990968.929,35.10877351,55953500000000.0,848000000.0,21474026795.0,18792477,1.68021085,10.17113667,55.181999999999995,23.45099507,117700000.0,0.298673302,53.26466,121712800.0,13.9996015,-113256000000000.0,15600000,82.52800351,27557.505,49.81371,1234800.0,0.161001659,86.99534713,25824.39898,20.62699716,14.51226084,18000000.0,65840000,144.165,9.936132747,19.47
1970,0.47269725700000004,691321000000000.0,3539720000000.0,5.104608314,76049268764.0,281705000000.0,6310000,27.04,4.416058999,662.2494343999998,80.84567612,63.389646,15.48402117,6.2027416189999975,6020134.333,11073690,384000,2000.8,22156220,250860000000000.0,32.58858578,108706.0,3020230000000.0,461387000000000.0,50755208107.0,28000000.0,85.68730551,3036000000000.0,407263000000000.0,44801255892.0,1584090000000.0,16.50475834,27596076937.0,44.94242101,28.26,5091654103,46285300000000.0,7.992288167999999,21.19708319,7.957557797000001,19.97305066,474109000000.0,3915406,1001500000.0,2.678204265,176855000000000.0,18.68664262,1148494.0,-1.5190188669999998,17.85496648,3.3161155239999998,80064600000000.0,984600000.0,53.46209351,9350311,8.142403302,2.362769728,82.929,13.4510065,95231336,5.615335925,114834781,50.14906068,19455016288.0,56295300000000.0,80.11375178,53.39,113.1,3066410000,12.34889059,165.6,4.049992484,465080000.0,6.428498311,186000000.0,24620000,453440000.0,15009841200.0,-53541011500.0,267.221,465080000.0,43.22179097,23660084577.0,215080000000000.0,3066410000,39.969,751345,2.031281739,519417,658650000000.0,253.565,2.031281739,527650000000.0,-15765995500.0,3578250000000.0,5.474,0.6226204439999999,54.53146341,39703833312.0,574708000000000.0,360925000000000.0,345.7474553,77.69501734,2302.876,34424369882.0,312932000000000.0,2738520000000.0,2754290000000.0,4.224868592,63221217118.0,504481000000.0,101.5190189,86910000,12466008894.0,113321000000000.0,558022000000.0,568351000000000.0,14.31269449,35822.922999999995,15.83171336,6.935527625,17.070999999999998,4808390732.0,1281970000000.0,1.1539320690000001,6892161353.0,43710400000000.0,206447000000000.0,432.70599999999996,362860000000.0,13.265,1108000000.0,-3146643.7010000013,36.37093637,62652700000000.0,1105900000.0,22710317078.0,19603445,1.2079025490000002,10.29474697,55.73,28.42103186,156020000.0,0.311951855,53.97756999999999,160280180.0,14.97002537,-120559000000000.0,25730000,81.61531375,29236.991,50.55873,1257200.0,0.156746935,87.04841774,30824.458539999996,13.61603942,9.446819271,18000000.0,125840000,139.259,9.936132747,21.6
1971,0.480811517,737562000000000.0,3877680000000.0,3.895622083,81136012126.0,327855000000.0,14160000,27.91,4.416058999,688.0481696,81.07939865,65.09381034,4.4166593569999995,6.273083232,6254656.016,10951020,383500,2081.7,22796490,266123000000000.0,21.76971207,114121.0,3202610000000.0,476678000000000.0,52437378799.0,94000000.0,82.65137225,3221990000000.0,425115000000000.0,46765136255.0,1655500000000.0,8.12519696,29275090701.0,42.72434465,28.89,5505361028,50046100000000.0,8.461123659,21.16948282,6.688747235,19.82054079,582686000000.0,4052372,1102800000.0,2.652892968,204631000000000.0,20.79141198,1159181.0,-1.02513696,17.17595549,3.348278693,87399000000000.0,1096300000.0,53.37532708,9664271,8.195477936,2.330411235,82.662,15.03766708,97476679,4.718590108,117921994,50.13730517,22510537428.0,76939500000000.0,81.1547934,53.97,109.9,3610010000,4.3584854260000006,160.3,4.962941858,585240000.0,6.960120391,227000000.0,43990000,547220000.0,2839806000.0,-39722418200.0,264.138,585240000.0,43.27639422,24705069916.0,224580000000000.0,3610010000,39.309,737321,1.669251117,510022,805634000000.0,250.58,1.669251117,622408000000.0,-19376537600.0,3914560000000.0,5.412999999999999,0.636856306,55.09487805,41268814688.0,614670000000000.0,375151000000000.0,349.96706969999997,74.19024859,2713.58,33166968066.0,301502000000000.0,2874750000000.0,2894130000000.0,4.204844479,67617202036.0,672232000000.0,101.025137,67010000,15179823137.0,137991000000000.0,711954000000.0,609425000000000.0,17.34862775,38987.544,18.37376471,5.936814749,17.338,4960245435.0,1413710000000.0,1.20422603,9040780006.0,45090800000000.0,227260000000000.0,553.717,357274000000.0,12.835,1234000000.0,-3930556.953,36.48424337,82184600000000.0,1231300000.0,24999886904.0,20445315,1.4202407830000001,9.220354451,56.276,31.10047112,185332571.3,0.330621478,54.690490000000004,187819481.3,16.06280404,-127691000000000.0,36840000,81.05718585,31602.206000000002,51.30374000000001,1273302.0,0.15264328,87.35248188,32883.43244,2.7441976930000003,3.1581190230000002,18000000.0,111890000,134.35299999999998,9.936132747,22.37
